SKU,SKU2,NAME,PRICE,TYPE,THREAD1,THREAD2,THREAD3,CONSIDER?
536539,A1,Sleeves 3pk,2.07,Compression,1/4 OD,0,0,0
536555,A2,Brass Sleeves 3pk,2.35,Compression,1/4 OD,0,0,0
559677,A2C,Brass Sleeves 25pk,9.05,Compression,1/4 OD,0,0,0
536717,A3,Nuts 3pk,2.85,Compression,1/4 OD,0,0,0
536792,A4,Nut & Insert,2.75,Compression,1/4 OD,0,0,0
543640,A101,Sleeves 3pk,2.05,Compression,3/8 OD,0,0,0
543659,A102,Brass Sleeves 3pk,2.67,Compression,3/8 OD,0,0,0
562769,A102C,Brass Sleeves 25pk,9.97,Compression,3/8 OD,0,0,0
543667,A103,Nuts 3pk,3.65,Compression,3/8 OD,0,0,0
543675,A104,Nut & Insert,3.17,Compression,3/8 OD,0,0,0
613289,LFA105,Cap,3.97,Compression,3/8 FOD,0,0,1
543713,A107,Sleeves & Inserts 2pk,2.85,Compression,3/8 OD,0,0,0
545082,A202,Brass Sleeves 3pk,3.65,Compression,1/2 OD,0,0,0
545090,A203,Nuts 3pk,5.15,Compression,1/2 OD,0,0,0
546216,A302,Brass Sleeves 3pk,3.85,Compression,5/8 OD,0,0,0
1003014556,0,NPT Tank Valve,6.57,Compression,0,0,0,0
543365,A60,Short Flare Nut,2.37,Flare,1/4 FFL,0,0,1
864466,LFA159,Plug,4.55,Flare,1/4 MFL,0,0,1
1002109497,LFA160,Short Rod Nuts 2pk,5.35,Flare,1/4 FFL,0,0,0
885768,LFA259,Plug,5.57,Flare,1/4 MFL,0,0,0
1002109482,A260,Short Rod Nuts 2pk,8.25,Flare,1/2 FFL,0,0,0
1002109499,A335,Short Rod Nuts 2pk,9.65,Flare,5/8 FFL,0,0,0
697459,LFA700,Elbow,6.15,Brass,1/8 FIP,1/8 FIP,0,1
697509,LFA704,Tee,6.57,Brass,1/8 FIP,1/8 FIP,1/8 FIP,2
583579,LFA5,Cap,2.65,Compression,1/4 FOD,0,0,1
537020,A8,Sleeves & Inserts 2pk,2.25,Compression,1/4 OD,0,0,0
584926,LFA16,Coupling,5.75,Compression,1/4 FIP,1/4 MOD,0,1
1005989806,LFA10,Coupling,4.57,Compression,1/4 MOD,1/4 MOD,0,1
584188,LFA12,Tee,10.05,Compression,1/4 MOD,1/4 MOD,1/4 MOD,2
543772,A108,Chrome Plated Nut and Sleeve 2pk,5.35,Compression,3/8 OD,0,0,0
613327,LFA109,Coupling,6.85,Compression,3/8 MOD,1/4 MOD,0,0
613331,LFA110,Coupling,8.47,Compression,3/8 MOD,3/8 MOD,0,0
619352,LFA110C,Couplings 5pk,19.65,Compression,3/8 MOD,3/8 MOD,0,0
627622,LFA113,Tee,11.67,Compression,3/8 MOD,3/8 MOD,1/4 MOD,2
628536,LFA114,Tee,11.67,Compression,3/8 MOD,3/8 MOD,3/8 MOD,2
629408,LFA115,Elbow,9.05,Compression,3/8 MOD,3/8 MOD,0,0
653772,LFA205,Cap,3.77,Compression,1/2 FOD,0,0,1
657943,LFA210,Union,11.35,Compression,1/2 MOD,1/2 MOD,0,0
546224,A303,Nuts 3pk,5.45,Compression,5/8 OD,0,0,0
684871,LFA63,Cap,2.95,Flare,1/4 FFL,0,0,1
1002064376,A162,Short Forged Nut 2pk,5.97,Flare,3/8 FFL,0,0,1
689735,LFA163,Cap,3.97,Flare,3/8 FFL,0,0,1
619003,A164,Swivel,9.47,Flare,3/8 FFL,3/8 FFL,0,1
1002064878,A262,Short Forged Nuts 2pk,8.97,Flare,1/2 FL,1/2 Fl ,0,0
697228,LFA263,Cap,5.05,Flare,1/2 FFL,0,0,1
850501,LFA268,Union,5.45,Flare,1/2 MFL,3/8 MFL,0,1
1002064877,A338,Short Forged Nuts 2pk,10.75,Flare,5/8 Fl,0,0,0
697655,LFA708,Cap,3.97,Brass,1/8 FIP,0,0,1
697705,LFA710,Square Head Plug,3.17,Brass,1/8 MIP,0,0,1
584909,LFA14,Elbow,8.15,Compression,1/4 MOD,1/4 MOD,0,1
633229,LFA15,Coupling,5.57,Compression,1/4 MOD,1/8 FIP,0,1
585249,LFA18,Coupling,8.85,Compression,1/4 MOD,3/8 FIP,0,1
585629,LFA19,Coupling,8.85,Compression,1/4 MOD,1/2 FIP,0,1
629768,LFA116,Coupling,6.85,Compression,3/8 MOD,1/4 FIP,0,1
630125,LFA117,Coupling,6.85,Compression,3/8 MOD,3/8 FIP,0,1
630591,LFA118,Coupling,6.97,Compression,3/8 MOD,1/2 FIP,0,1
1002109479,LFA120,Couplings 2pk,9.25,Compression,3/8 MOD,1/2 Sweat,0,1
633599,LFA122,Adapter,6.55,Compression,3/8 MOD,1/4 MIP,0,1
633754,LFA123,Adapter,6.85,Compression,3/8 MOD,3/8 MOD,0,1
634091,LFA124,Adapter,9.75,Compression,3/8 MOD,1/2 MIP,0,1
1002109379,LFA124,Adapters 2pk,15.37,Compression,3/8 MOD,1/2 MIP,0,1
658570,LFA214,Tee,12.05,Compression,1/2 MOD,1/2 MOD,1/2 MOD,2
660880,LFA218,Coupling,6.65,Compression,1/2 MOD,1/2 FIP,0,1
683407,LFA305,Cap,4.55,Compression,5/8 FOD,0,0,1
902089,LFA65,Union,2.85,Flare,1/4 MFL,1/4 MFL,0,1
883806,LFA165,Union,4.17,Flare,3/8 MFL,3/8 MFL,0,1
815377,LFA168,Tee,9.15,Flare,3/8 MFL,3/8 MFL,3/8 MFL,2
883666,LFA176,Coupling,4.25,Flare,3/8 MFL,3/8 FIP,0,1
846219,LFA269,Union,5.45,Flare,1/2 MFL,1/2 MFL,0,1
810888,LFA271,Tee,10.05,Flare,1/2 MFL,1/2 MFL,1/2 MFL,2
727131,LFA342,Cap,6.57,Flare,5/8 FFL,0,0,1
149615,LFA714,Hex Nipple,2.85,Brass,1/8 MIP,1/8 MIP,H,3
697767,LFA715,Nipple,3.17,Brass,1/8 MIP,1/8 MIP,0,3
585784,LFA22,Adapter,5.57,Compression,1/4 MOD,1/8 MIP,0,1
587001,LFA23,Adapter,6.17,Compression,1/4 MOD,1/4 MIP,0,1
589841,LFA24,Adapter,7.75,Compression,1/4 MOD,3/8 MIP,0,1
590142,LFA25,Adapter,9.15,Compression,1/4 MOD,1/2 MIP,0,1
591436,LFA29,Elbow,7.55,Compression,1/4 MOD,1/8 MIP,0,1
639242,LFA125,Adapter,13.17,Compression,3/8 MOD,3/4 MIP,0,1
639539,LFA129,Elbow,9.15,Compression,3/8 MOD,3/8 MIP,0,1
639867,LFA130,Elbow,8.67,Compression,3/8 MOD,1/2 MIP,0,1
641419,LFA139,Evap Cooler Valve,13.17,Compression,3/8 MOD,3/8 MOD,1/4 MOD,4
642476,LFA140,Needle Valve,12.97,Compression,3/8 MOD,3/8 MOD,0,4
633247,LFA141,Saddle Valve,13.17,Compression,3/8 MOD,3/8 MOD,0,4
633268,LFA154,Adapter,3.77,Compression,1/4 MOD,3/8 FFL,0,1
664340,LFA220,Adapter,5.75,Compression,1/2 MOD,3/8 MIP,0,1
664950,LFA221,Adapter,9.67,Compression,1/2 MOD,1/2 MIP,0,1
685572,LFA309,Union,8.57,Compression,5/8 MOD,3/8 MOD,0,1
899341,LFA80,Union,2.85,Flare,1/4 MFL,1/4 MIP,0,1
865370,LFA177,Coupling,4.25,Flare,3/8 MFL,1/2 FIP,0,1
894169,LFA182,Union,3.65,Flare,3/8 MFL,1/4 MIP,0,1
886687,LFA183,Union,4.15,Flare,3/8 MFL,3/8 MIP,0,1
861014,LFA276,Union,5.05,Flare,1/2 MFL,3/8 MIP,0,1
887161,LFA273,Coupling,5.25,Flare,1/2 MFL,1/2 FIP,0,1
858145,LFA274,Coupling,5.27,Flare,1/2 MFL,3/8 FIP,0,1
903871,LFA370,Union,6.55,Flare,5/8 MFL,1/2 MIP,0,1
598809,LFA716,Nipple,4.77,Brass,1/8 MIP,1/8 MIP,1 1/2,3
699172,LFA717,Nipple,5.57,Brass,1/8 MIP,1/8 MIP,2,3
591911,LFA30,Elbow,7.75,Compression,1/4 MOD,1/4 MIP,0,1
592210,LFA40,Needle Valve,11.35,Compression,1/4 MOD,1/4 MOD,1/8 MIP,4
592281,LFA41,Angle Needle Valve,7.98,Compression,1/4 MOD,1/8 MIP,0,4
611859,LFA42,Needle Valve,11.67,Compression,1/4 MOD,1/4 MOD,0,4
611941,LFA50,Saddle Valve,12.47,Compression,1/4 MOD,1/4 MOD,0,4
642544,LFA155,Adapter,6.57,Compression,3/8 MOD,3/8 FFL,0,1
643304,LFA157,Adapter,6.27,Compression,3/8 FOD,1/4 MOD,0,1
1000403855,HLFA157A,Adapter,4.55,Compression,3/8 FOD,3/8 FOD,0,1
640698,LFA158A,Dishwasher Elbow,6.65,Compression,3/8 MOD,3/4 FH,0,1
810608,LFPBAV664,Adapt-A-Valve,13.07,Compression,3/8 MOD,3/8 MOD,1/4 MOD,2
810771,LFPBAV666,Adapt-A-Valve,13.07,Compression,3/8 MOD,3/8 MOD,3/8 MOD,2
653748,LFA200,Adapter,6.85,Compression,7/16 FOD,3/8 MOD,0,1
666079,LFA223,Elbow,10.65,Compression,1/2 MOD,1/2 MIP,0,1
669370,LFA230,Adapter,7.55,Compression,1/2 FOD,3/8 MOD,0,1
1005506190,0,Slip Joint Adapter,5.47,Compression,3/8 MOD,1/2 MIP,0,1
683426,LFA310,Union,11.97,Compression,5/8 MOD,5/8 MOD,0,1
693167,LFA324,Adapter,8.45,Compression,5/8 MOD,1/2 MIP,0,1
890737,LFA184,Union,19.85,Flare,3/8 MFL,1/2 MIP,0,1
877096,LFA186,Elbow,5.47,Flare,3/8 MFL,3/8 MIP,0,1
725808,LFA285,Shutoff Cock,20.17,Flare,1/2 MFL,1/2 FIP,0,4
837146,LFA371,Union,7.45,Flare,5/8 MFL,3/4 MIP,0,1
700533,LFA719,Nipple,6.27,Brass,1/8 MIP,1/8 MIP,3,3
704991,LFA721,Nipple,10.17,Brass,1/8 MIP,1/8 MIP,4,3
697526,LFA706,Coupling,4.45,Brass,1/8 FIP,1/8 FIP,0,1
705112,LFA727,Elbow,6.57,Brass,1/4 FIP,1/4 FIP,0,1
248458,LFA729,Hex Nipple,3.65,Brass,1/4 MIP,1/4 MIP,H,3
706429,LFA730,Tee,10.55,Brass,1/4 FIP,1/4 FIP,1/4 FIP,2
714230,LFA755,Elbow,10.27,Brass,3/8 FIP,3/8 FIP,0,1
714261,LFA758,Tee,12.75,Brass,3/8 FIP,3/8 FIP,3/8 FIP,2
714914,LFA760,Coupling,6.57,Brass,3/8 FIP,3/8 FIP,0,1
715902,LFA765,Coupling,6.57,Brass,3/8 FIP,1/4 FIP,0,1
746036,LFA805,Elbow,10.55,Brass,1/2 FIP,1/2 FIP,0,1
